Gene_ID,Name
SMEL4.1_10g015100.1.01,Protein of unknown function
SMEL4.1_10g015090.1.01,"Similar to CGS1 Cystathionine gamma-synthase 1, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g015080.1.01,"Similar to RBCMT Ribulose-1,5 bisphosphate carboxylase/oxygenase large subunit N-methyltransferase, chloroplastic (Nicotiana tabacum OX=4097)"
SMEL4.1_10g015070.1.01,"Similar to RBCMT Ribulose-1,5 bisphosphate carboxylase/oxygenase large subunit N-methyltransferase, chloroplastic (Nicotiana tabacum OX=4097)"
SMEL4.1_10g015060.1.01,Similar to RRT4 Rhamnogalacturonan I rhamnosyltransferase 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g015050.1.01,Protein of unknown function
SMEL4.1_10g015040.1.01,Similar to At1g26690 Transmembrane emp24 domain-containing protein p24delta9 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g015030.1.01,Similar to ILK1 Integrin-linked protein kinase 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g015020.1.01,Protein of unknown function
SMEL4.1_10g015010.1.01,Similar to VTI12 Vesicle transport v-SNARE 12 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g015000.1.01,Similar to GN ARF guanine-nucleotide exchange factor GNOM (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014990.1.01,Similar to RPN6 26S proteasome non-ATPase regulatory subunit 11 homolog (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014980.1.01,Similar to RPN6 26S proteasome non-ATPase regulatory subunit 11 homolog (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014970.1.01,Similar to RPN6 26S proteasome non-ATPase regulatory subunit 11 homolog (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014960.1.01,Similar to SOT5 Cytosolic sulfotransferase 5 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014950.1.01,Similar to SOT12 Cytosolic sulfotransferase 12 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014940.1.01,Similar to SOT5 Cytosolic sulfotransferase 5 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014930.1.01,Similar to SOT5 Cytosolic sulfotransferase 5 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014920.1.01,Similar to SOT5 Cytosolic sulfotransferase 5 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014910.1.01,Protein of unknown function
SMEL4.1_10g014900.1.01,Protein of unknown function
SMEL4.1_10g014890.1.01,Protein of unknown function
SMEL4.1_10g014880.1.01,Protein of unknown function
SMEL4.1_10g014870.1.01,Protein of unknown function
SMEL4.1_10g014860.1.01,Protein of unknown function
SMEL4.1_10g014850.1.01,Protein of unknown function
SMEL4.1_10g014840.1.01,Protein of unknown function
SMEL4.1_10g014830.1.01,Similar to PAT22 Probable protein S-acyltransferase 22 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014820.1.01,Protein of unknown function
SMEL4.1_10g014810.1.01,Similar to WRKY3 Probable WRKY transcription factor 3 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014800.1.01,Similar to R1C-3 Putative late blight resistance protein homolog R1C-3 (Solanum demissum OX=50514)
SMEL4.1_10g014790.1.01,Similar to At3g28580 AAA-ATPase At3g28580 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014780.1.01,Similar to HSFA4C Heat stress transcription factor A-4c (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014770.1.01,Similar to R1A-3 Putative late blight resistance protein homolog R1A-3 (Solanum demissum OX=50514)
SMEL4.1_10g014760.1.01,Similar to At3g06240 F-box/kelch-repeat protein At3g06240 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014750.1.01,Similar to SDM1_58t00016 Casparian strip membrane protein 2 (Solanum demissum OX=50514)
SMEL4.1_10g014740.1.01,"Similar to PNSL2 Photosynthetic NDH subunit of lumenal location 2, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g014730.1.01,Similar to NAP1 NAC domain-containing protein 1 (Solanum lycopersicum OX=4081)
SMEL4.1_10g014720.1.01,Similar to SBT1.5 Subtilisin-like protease SBT1.5 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014710.1.01,Protein of unknown function
SMEL4.1_10g014700.1.01,Similar to APC2 Anaphase-promoting complex subunit 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014690.1.01,Similar to PCMP-H75 Pentatricopeptide repeat-containing protein At2g25580 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014680.1.01,Similar to PUMP3 Mitochondrial uncoupling protein 3 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014670.1.01,Similar to MYB106 Transcription factor MYB106 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014660.1.01,Similar to MYB106 Transcription factor MYB106 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014650.1.01,Protein of unknown function
SMEL4.1_10g014640.1.01,Similar to APY6 Probable apyrase 6 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014630.1.01,Similar to SUD1 Probable E3 ubiquitin ligase SUD1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014620.1.01,Protein of unknown function
SMEL4.1_10g014610.1.01,Similar to R1B-16 Putative late blight resistance protein homolog R1B-16 (Solanum demissum OX=50514)
SMEL4.1_10g014600.1.01,"Similar to CpNIFS3 Probable L-cysteine desulfhydrase, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g014590.1.01,Similar to R1A-3 Putative late blight resistance protein homolog R1A-3 (Solanum demissum OX=50514)
SMEL4.1_10g014580.1.01,Similar to ZHD8 Zinc-finger homeodomain protein 8 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014570.1.01,Protein of unknown function
SMEL4.1_10g014560.1.01,Protein of unknown function
SMEL4.1_10g014550.1.01,Similar to RPL34 60S ribosomal protein L34 (Nicotiana tabacum OX=4097)
SMEL4.1_10g014540.1.01,Similar to FEZ Protein FEZ (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014530.1.01,Similar to RAD5B DNA repair protein RAD5B (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014520.1.01,Protein of unknown function
SMEL4.1_10g014510.1.01,Similar to RDR1 RNA-dependent RNA polymerase 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014500.1.01,Protein of unknown function
SMEL4.1_10g014490.1.01,Similar to R1A Late blight resistance protein R1-A (Solanum demissum OX=50514)
SMEL4.1_10g014480.1.01,Similar to At3g06240 F-box/kelch-repeat protein At3g06240 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014470.1.01,Similar to R1B-23 Putative late blight resistance protein homolog R1B-23 (Solanum demissum OX=50514)
SMEL4.1_10g014460.1.01,Similar to R1B-12 Putative late blight resistance protein homolog R1B-12 (Solanum demissum OX=50514)
SMEL4.1_10g014450.1.01,Protein of unknown function
SMEL4.1_10g014440.1.01,Similar to At3g23880 F-box/kelch-repeat protein At3g23880 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014430.1.01,Protein of unknown function
SMEL4.1_10g014420.1.01,Similar to CPR1 F-box protein CPR1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014410.1.01,"Similar to rpl23-A 50S ribosomal protein L23, chloroplastic (Solanum tuberosum OX=4113)"
SMEL4.1_10g014400.1.01,Protein of unknown function
SMEL4.1_10g014390.1.01,Similar to ycf2-A Protein Ycf2 (Nicotiana tomentosiformis OX=4098)
SMEL4.1_10g014380.1.01,Similar to R1A-3 Putative late blight resistance protein homolog R1A-3 (Solanum demissum OX=50514)
SMEL4.1_10g014370.1.01,Protein of unknown function
SMEL4.1_10g014360.1.01,Protein of unknown function
SMEL4.1_10g014350.1.01,Protein of unknown function
SMEL4.1_10g014330.1.01,Protein of unknown function
SMEL4.1_10g014340.1.01,Protein of unknown function
SMEL4.1_10g014320.1.01,Similar to ORC6 Origin of replication complex subunit 6 (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_10g014310.1.01,Similar to R1A-3 Putative late blight resistance protein homolog R1A-3 (Solanum demissum OX=50514)
SMEL4.1_10g014300.1.01,Similar to R1B-14 Putative late blight resistance protein homolog R1B-14 (Solanum demissum OX=50514)
SMEL4.1_10g014290.1.01,Similar to At3g06240 F-box/kelch-repeat protein At3g06240 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014280.1.01,Protein of unknown function
SMEL4.1_10g014270.1.01,Similar to COX3 Cytochrome c oxidase subunit 3 (Oenothera berteroana OX=3950)
SMEL4.1_10g014260.1.01,Protein of unknown function
SMEL4.1_10g014250.1.01,Protein of unknown function
SMEL4.1_10g014240.1.01,Similar to At3g28580 AAA-ATPase At3g28580 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014230.1.01,Protein of unknown function
SMEL4.1_10g014220.1.01,Protein of unknown function
SMEL4.1_10g014210.1.01,Similar to At3g23880 F-box/kelch-repeat protein At3g23880 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014200.1.01,Protein of unknown function
SMEL4.1_10g014190.1.01,Protein of unknown function
SMEL4.1_10g014180.1.01,Protein of unknown function
SMEL4.1_10g014170.1.01,Similar to R1B-12 Putative late blight resistance protein homolog R1B-12 (Solanum demissum OX=50514)
SMEL4.1_10g014160.1.01,Similar to R1C-3 Putative late blight resistance protein homolog R1C-3 (Solanum demissum OX=50514)
SMEL4.1_10g014150.1.01,Similar to CPR1 F-box protein CPR1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014140.1.01,Similar to At3g28580 AAA-ATPase At3g28580 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014130.1.01,Similar to R1A-3 Putative late blight resistance protein homolog R1A-3 (Solanum demissum OX=50514)
SMEL4.1_10g014120.1.01,Protein of unknown function
SMEL4.1_10g014100.1.01,Protein of unknown function
SMEL4.1_10g014110.1.01,Protein of unknown function
SMEL4.1_10g014090.1.01,Similar to TAF11 Transcription initiation factor TFIID subunit 11 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014080.1.01,Similar to RNS3 Ribonuclease 3 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014070.1.01,Protein of unknown function
SMEL4.1_10g014060.1.01,Similar to At3g28540 AAA-ATPase At3g28540 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014050.1.01,Similar to R1B-12 Putative late blight resistance protein homolog R1B-12 (Solanum demissum OX=50514)
SMEL4.1_10g014040.1.01,Similar to SBH2 Sphinganine C4-monooxygenase 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014030.1.01,Similar to DSEL Phospholipase A1-IIgamma (Arabidopsis thaliana OX=3702)
SMEL4.1_10g014020.1.01,Protein of unknown function
SMEL4.1_10g014010.1.01,Protein of unknown function
SMEL4.1_10g014000.1.01,Similar to Os01g0651100 Phospholipase A1-II 1 (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_10g013990.1.01,Similar to Os05g0583200 Zinc finger BED domain-containing protein RICESLEEPER 3 (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_10g013980.1.01,Similar to At1g26850 Probable methyltransferase PMT2 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013970.1.01,Similar to PKS1 Protein PHYTOCHROME KINASE SUBSTRATE 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013960.1.01,Protein of unknown function
SMEL4.1_10g013950.1.01,Protein of unknown function
SMEL4.1_10g013940.1.01,Protein of unknown function
SMEL4.1_10g013930.1.01,Similar to At3g28580 AAA-ATPase At3g28580 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013920.1.01,"Similar to EMB2261 Pentatricopeptide repeat-containing protein At3g49170, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g013910.1.01,Protein of unknown function
SMEL4.1_10g013900.1.01,Similar to P58IPK DnaJ protein P58IPK homolog (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013890.1.01,Protein of unknown function
SMEL4.1_10g013880.1.01,"Similar to PXM16 Insulin-degrading enzyme-like 1, peroxisomal (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g013870.1.01,"Similar to ndhK NAD(P)H-quinone oxidoreductase subunit K, chloroplastic (Acorus calamus OX=4465)"
SMEL4.1_10g013860.1.01,Similar to PKS1 Protein PHYTOCHROME KINASE SUBSTRATE 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013840.1.01,Protein of unknown function
SMEL4.1_10g013850.1.01,Protein of unknown function
SMEL4.1_10g013830.1.01,Similar to R1B-11 Putative late blight resistance protein homolog R1B-11 (Solanum demissum OX=50514)
SMEL4.1_10g013820.1.01,Similar to HVA22A HVA22-like protein a (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013810.1.01,Similar to PKS1 Protein PHYTOCHROME KINASE SUBSTRATE 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013800.1.01,Similar to CPR1 F-box protein CPR1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013790.1.01,Similar to TCP15 Transcription factor TCP15 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013780.1.01,Protein of unknown function
SMEL4.1_10g013770.1.01,Protein of unknown function
SMEL4.1_10g013760.1.01,Similar to R1B-12 Putative late blight resistance protein homolog R1B-12 (Solanum demissum OX=50514)
SMEL4.1_10g013750.1.01,"Similar to PRAF1 PH, RCC1 and FYVE domains-containing protein 1 (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g013740.1.01,"Similar to AATP1 AAA-ATPase ASD, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g013730.1.01,Similar to R1B-13 Putative late blight resistance protein homolog R1B-13 (Solanum demissum OX=50514)
SMEL4.1_10g013720.1.01,Similar to ORC6 Origin of replication complex subunit 6 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013700.1.01,Protein of unknown function
SMEL4.1_10g013710.1.01,Protein of unknown function
SMEL4.1_10g013690.1.01,Protein of unknown function
SMEL4.1_10g013680.1.01,Similar to MYB124 Transcription factor MYB124 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013670.1.01,Similar to UTR3 UDP-galactose/UDP-glucose transporter 3 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013660.1.01,Similar to PBL3 Probable serine/threonine-protein kinase PBL3 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013650.1.01,Similar to TLP1 Protein TWIN LOV 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013640.1.01,Protein of unknown function
SMEL4.1_10g013630.1.01,Protein of unknown function
SMEL4.1_10g013620.1.01,Similar to PIX7 Probable serine/threonine-protein kinase PIX7 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013610.1.01,Protein of unknown function
SMEL4.1_10g013600.1.01,"Similar to AMY3 Alpha-amylase 3, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g013590.1.01,Similar to IQD31 Protein IQ-DOMAIN 31 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013580.1.01,Protein of unknown function
SMEL4.1_10g013570.1.01,Similar to SKIP11 F-box/kelch-repeat protein SKIP11 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013560.1.01,Similar to AMPD AMP deaminase (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013550.1.01,Similar to PER47 Peroxidase 47 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013540.1.01,Similar to NPF2.13 Protein NRT1/ PTR FAMILY 2.13 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013530.1.01,Protein of unknown function
SMEL4.1_10g013520.1.01,"Similar to PTST2 Protein PTST homolog 2, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g013510.1.01,Similar to UVR8 Ultraviolet-B receptor UVR8 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013500.1.01,Similar to COG7 Conserved oligomeric Golgi complex subunit 7 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013490.1.01,Protein of unknown function
SMEL4.1_10g013480.1.01,Similar to LRK10 Rust resistance kinase Lr10 (Triticum aestivum OX=4565)
SMEL4.1_10g013470.1.01,"Similar to STR8 Rhodanese-like domain-containing protein 8, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g013460.1.01,"Similar to STR8 Rhodanese-like domain-containing protein 8, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g013450.1.01,Similar to At1g27050 Uncharacterized protein At1g27050 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013440.1.01,Protein of unknown function
SMEL4.1_10g013430.1.01,Similar to HAT5 Homeobox-leucine zipper protein HAT5 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013420.1.01,Protein of unknown function
SMEL4.1_10g013410.1.01,Similar to NPF4.6 Protein NRT1/ PTR FAMILY 4.6 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013400.1.01,Similar to NPF4.6 Protein NRT1/ PTR FAMILY 4.6 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013390.1.01,Similar to GLOX Aldehyde oxidase GLOX (Vitis pseudoreticulata OX=231512)
SMEL4.1_10g013380.1.01,Similar to AMPD Probable AMP deaminase (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_10g013370.1.01,Protein of unknown function
SMEL4.1_10g013360.1.01,Similar to TRX2 Thioredoxin H2 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013350.1.01,Similar to TRX2 Thioredoxin H2 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013340.1.01,Protein of unknown function
SMEL4.1_10g013330.1.01,Similar to At1g47710 Serpin-ZX (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013320.1.01,Similar to TRX2 Thioredoxin H2 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013310.1.01,Protein of unknown function
SMEL4.1_10g013300.1.01,Protein of unknown function
SMEL4.1_10g013290.1.01,Similar to ERDJ3B DnaJ protein ERDJ3B (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013280.1.01,Similar to TRX2 Thioredoxin H2 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013270.1.01,Similar to TRX2 Thioredoxin H2 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013260.1.01,Similar to TRX2 Thioredoxin H2 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013250.1.01,Protein of unknown function
SMEL4.1_10g013240.1.01,Similar to FLS2 LRR receptor-like serine/threonine-protein kinase FLS2 (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_10g013230.1.01,Similar to GALT6 Hydroxyproline O-galactosyltransferase GALT6 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013220.1.01,Similar to At3g47200 UPF0481 protein At3g47200 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013210.1.01,Protein of unknown function
SMEL4.1_10g013200.1.01,"Similar to At1g05670 Pentatricopeptide repeat-containing protein At1g05670, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g013190.1.01,Similar to HIPL1 HIPL1 protein (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013180.1.01,Similar to HMA4 Copper-transporting ATPase HMA4 (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_10g013170.1.01,Similar to rpoC1 DNA-directed RNA polymerase subunit beta' (Nicotiana tabacum OX=4097)
SMEL4.1_10g013160.1.01,"Similar to MICU Calcium uptake protein, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g013150.1.01,Protein of unknown function
SMEL4.1_10g013140.1.01,Similar to GSTU17 Glutathione S-transferase U17 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013130.1.01,Similar to GSTU17 Glutathione S-transferase U17 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013120.1.01,Similar to GSTU17 Glutathione S-transferase U17 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013110.1.01,Similar to GSTU17 Glutathione S-transferase U17 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013100.1.01,Similar to GSTU17 Glutathione S-transferase U17 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013090.1.01,Protein of unknown function
SMEL4.1_10g013080.1.01,Similar to LRK10L-1.5 LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.5 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g013070.1.01,Protein of unknown function
SMEL4.1_10g013060.1.01,Protein of unknown function
SMEL4.1_10g013050.1.01,"Similar to PCMP-H51 Pentatricopeptide repeat-containing protein At1g59720, chloroplastic/mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g013040.1.01,Protein of unknown function
SMEL4.1_10g013030.1.01,Protein of unknown function
SMEL4.1_10g013020.1.01,Protein of unknown function
SMEL4.1_10g013010.1.01,Similar to RCOM_0699480 Glycosyltransferase family 92 protein RCOM_0530710 (Ricinus communis OX=3988)
SMEL4.1_10g013000.1.01,Protein of unknown function
SMEL4.1_10g012990.1.01,Protein of unknown function
SMEL4.1_10g012980.1.01,Similar to At1g27190 Probable inactive receptor kinase At1g27190 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012970.1.01,Protein of unknown function
SMEL4.1_10g012960.1.01,Similar to PP2A2 Serine/threonine-protein phosphatase PP2A-2 catalytic subunit (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012950.1.01,Similar to RUN1 Disease resistance protein RUN1 (Vitis rotundifolia OX=103349)
SMEL4.1_10g012940.1.01,Similar to CLE25 CLAVATA3/ESR (CLE)-related protein 25 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012930.1.01,Similar to RPV1 Disease resistance protein RPV1 (Vitis rotundifolia OX=103349)
SMEL4.1_10g012920.1.01,Similar to RPV1 Disease resistance protein RPV1 (Vitis rotundifolia OX=103349)
SMEL4.1_10g012910.1.01,Similar to RPV1 Disease resistance protein RPV1 (Vitis rotundifolia OX=103349)
SMEL4.1_10g012900.1.01,Protein of unknown function
SMEL4.1_10g012890.1.01,Protein of unknown function
SMEL4.1_10g012880.1.01,Protein of unknown function
SMEL4.1_10g012870.1.01,Similar to ALA3 Phospholipid-transporting ATPase 3 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012860.1.01,Similar to ALA3 Phospholipid-transporting ATPase 3 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012850.1.01,Similar to BHLH094 Transcription factor BHLH094 (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_10g012840.1.01,"Similar to OR Protein ORANGE, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g012830.1.01,Similar to SRS2 ATP-dependent DNA helicase SRS2-like protein At4g25120 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012820.1.01,Protein of unknown function
SMEL4.1_10g012810.1.01,Protein of unknown function
SMEL4.1_10g012800.1.01,Similar to MYB14 Transcription factor MYB14 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012790.1.01,Protein of unknown function
SMEL4.1_10g012780.1.01,Similar to SINE3 Protein SINE3 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012760.1.01,Protein of unknown function
SMEL4.1_10g012770.1.01,Protein of unknown function
SMEL4.1_10g012750.1.01,"Similar to LIL3.1 Light-harvesting complex-like protein 3 isotype 1, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g012740.1.01,Similar to GDHA Glutamate dehydrogenase A (Nicotiana plumbaginifolia OX=4092)
SMEL4.1_10g012730.1.01,Similar to XYL2 Putative alpha-xylosidase 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012720.1.01,Protein of unknown function
SMEL4.1_10g012710.1.01,Protein of unknown function
SMEL4.1_10g012700.1.01,Similar to MED31 Mediator of RNA polymerase II transcription subunit 31 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012690.1.01,Protein of unknown function
SMEL4.1_10g012680.1.01,Similar to At1g28695 Uncharacterized protein At1g28695 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012670.1.01,Similar to At1g28695 Uncharacterized protein At1g28695 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012660.1.01,Similar to PABN1 Polyadenylate-binding protein 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012650.1.01,Similar to PABN2 Polyadenylate-binding protein 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012640.1.01,Protein of unknown function
SMEL4.1_10g012630.1.01,Similar to EO 2-methylene-furan-3-one reductase (Fragaria ananassa OX=3747)
SMEL4.1_10g012620.1.01,Similar to CYP714A1 Cytochrome P450 714A1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012610.1.01,Protein of unknown function
SMEL4.1_10g012600.1.01,Protein of unknown function
SMEL4.1_10g012580.1.01,Protein of unknown function
SMEL4.1_10g012590.1.01,Protein of unknown function
SMEL4.1_10g012570.1.01,Similar to CIP7 COP1-interacting protein 7 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012560.1.01,Similar to At2g32630 Pentatricopeptide repeat-containing protein At2g32630 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012550.1.01,Protein of unknown function
SMEL4.1_10g012540.1.01,Similar to ASHR1 Histone-lysine N-methyltransferase ASHR1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012530.1.01,Protein of unknown function
SMEL4.1_10g012520.1.01,Similar to TTL4 TPR repeat-containing thioredoxin TTL4 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012510.1.01,"Similar to TOC34 Translocase of chloroplast 34, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g012500.1.01,"Similar to At1g02060 Pentatricopeptide repeat-containing protein At1g02060, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g012490.1.01,"Similar to PCMP-H85 Putative pentatricopeptide repeat-containing protein At3g13770, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g012480.1.01,"Similar to FSD2 Superoxide dismutase [Fe] 2, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g012470.1.01,"Similar to KIN7K Kinesin-like protein KIN-7K, chloroplastic (Oryza sativa subsp. japonica OX=39947)"
SMEL4.1_10g012460.1.01,"Similar to ATP1 Probable pterin-4-alpha-carbinolamine dehydratase, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g012450.1.01,Similar to AMC1 Metacaspase-1 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012440.1.01,Protein of unknown function
SMEL4.1_10g012430.1.01,Protein of unknown function
SMEL4.1_10g012420.1.01,Protein of unknown function
SMEL4.1_10g012410.1.01,Similar to STR7 Rhodanese-like domain-containing protein 7 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012400.1.01,Similar to WRKY70 WRKY DNA-binding transcription factor 70 (Solanum lycopersicum OX=4081)
SMEL4.1_10g012390.1.01,Similar to TFIIS Transcription elongation factor TFIIS (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012380.1.01,Protein of unknown function
SMEL4.1_10g012370.1.01,Similar to RAD5A DNA repair protein RAD5A (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012360.1.01,Protein of unknown function
SMEL4.1_10g012350.1.01,Similar to MLO12 MLO-like protein 12 (Arabidopsis thaliana OX=3702)
SMEL4.1_10g012340.1.01,Protein of unknown function
SMEL4.1_10g012330.1.01,"Similar to At5g05200 Uncharacterized aarF domain-containing protein kinase At5g05200, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g012320.1.01,"Similar to At5g05200 Uncharacterized aarF domain-containing protein kinase At5g05200, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_10g012310.1.01,Similar to EDR4 Protein ENHANCED DISEASE RESISTANCE 4 (Arabidopsis thaliana OX=3702)
